event	timestamp	data available at that moment	affected analysis	evidentiary status	provenance
Pre-registration and analysis script frozen by content hash	2026-08-13 22:00:03 +0200	none (0 rows anywhere)	T1-T10, falsifier band, family size m=10, Holm	pre-registered, precedence verifiable from committed history	git commit c89a3ea adds PREREGISTRAZIONE.md, analysis/analyze_c2.py, analysis/potenza.py, HASH-CONGELATI.md
First data row ever collected (batch later invalidated)	2026-08-13 22:32:36	0 -> 1	none surviving; batch invalidated for algorithm-name leak	invalidated, retained in results/invalidati/lotto-nome-algoritmo/	earliest timestamp field across all released CSVs
T9/T10 succession document written and implemented	2026-08-14 (doc) / implementation committed 2026-08-14 19:01:45	861 rows at +11h from freeze, 3 cells, all gpt-oss-120b (one model)	T9 (heterogeneity), T10 (interaction)	frozen family membership pre-registered; implementation completed after collection began, under dated succession	registro/SUCCESSIONE-03-t9-t10.md; row counts recomputed from released CSV timestamps
Algorithm-name leak found; whole batch invalidated	2026-08-14 (EMENDAMENTO-03, committed 2026-08-14 20:02:14)	2419 rows invalidated (2390 valid measurements, $17.08)	none: batch excluded from every mean	invalidated and retained	results/README-validita.md; registro/EMENDAMENTO-03-nome-algoritmo.md
Original collection (retained batch) starts	2026-08-14 20:02:00	0 rows of the retained batch; freeze precedes it by 22h 2m	T1-T10 on the original batch	original collection	earliest timestamp in results/c2_*.csv
Bedrock final-turn toolConfig defect found; one cell invalidated and re-collected	2026-08-14 (SUCCESSIONE-05, committed 2026-08-14 20:11 window)	453 rows of that cell, 29 carrying the ValidationException	gpt-oss-120b/bedrock/native cell	invalidated and retained; mechanism M7 of the census	results/README-validita.md; registro/SUCCESSIONE-05-toolconfig-converse.md
Original collection completes	2026-08-15 15:57:36	5805 valid measurements, 16 cells	T1-T10 on the original batch	original collection, complete	latest timestamp in results/c2_*.csv
Confirmatory analysis of the original batch run and committed	2026-08-15 17:30:06	5805 valid measurements	T1-T10 outcome on the original batch KNOWN from here on	original confirmatory outcome known	git commit b593a13; results/ANALISI-2026-08-15.txt
RQ5 arises: constrained-native ablation arm decided	2026-08-15 (SUCCESSIONE-08)	5805 rows; the batching confound was declared at design time, its size was not	RQ5, sections 5.5 and 5.6	exploratory, arose during execution	registro/SUCCESSIONE-08-ablazione-batching.md
Ablation arm starts	2026-08-15 19:22:23	5805 rows of the original	RQ5	exploratory	earliest timestamp in results/ablazione/
Shared working directory found (workdir keyed without the cell)	2026-08-15 (SUCCESSIONE-07)	5805 rows of the original, all exposed	internal validity of the original batch	measured threat: 30 shared compilation paths, 843/5805 crowding	registro/SUCCESSIONE-07-rischio-workdir.md
Re-collection decided; four concordance criteria and the primary designation written in prose	2026-08-15 (declared) / file mtime 2026-08-16 08:22 / committed 2026-08-16 15:35:36	at file mtime: 1611 re-collection rows (27.4%), 5 cells, 2 of 8 contrasts (T1, T5) already computable; original outcome fully known since 2026-08-15 17:30	designation of the re-collection as primary basis; four concordance diagnostics	pre-specified relative to the re-collection outcome in substance (6 of 8 contrasts not computable); NOT verifiable from committed history; NOT independent of the original outcome	registro/EMENDAMENTO-06-riraccolta-isolata.md; HASH-CONGELATI.md; row counts recomputed by revisione/stato_a_cutoff.py
Re-collection smoke test (1 binary, 1 run)	2026-08-15 20:55:39	5805 original rows; 0 re-collection rows	none: moved to results/riraccolta/smoke/, invisible to the non-recursive glob	collaudo, retained	results/README-validita.md
Re-collection starts	2026-08-15 20:57:37	0 rows of the re-collection	T1-T10 on the primary basis	primary basis	earliest timestamp in results/riraccolta/
Criteria encoded in the frozen comparison script	2026-08-15 22:01 (mtime) / committed 2026-08-16 15:35:36	at mtime: 112 rows (1.9%), 1 cell of 16, one model, 0 of 8 contrasts computable; at commit: 4318 rows (73.4%), 5 of 8 contrasts computable	the four concordance diagnostics	pre-specified relative to the re-collection outcome in substance; precedence declared by mtime, not by committed history	analysis/confronto_riraccolta.py; HASH-CONGELATI.md; revisione/stato_a_cutoff.py
Ablation arm completes; falls outside its pre-declared validity band	2026-08-16 01:26:04	1080 valid ablation measurements	RQ5: direction licensed, magnitude not	exploratory, band missed and reported	registro/NOTA-01-ablazione-fuori-banda.md; results/ablazione/
Re-collection completes	2026-08-16 23:57:11	5809 valid measurements, 16 cells	T1-T10 primary; variance decomposition; runtime comparison	primary basis, complete	latest timestamp in results/riraccolta/
Eighth mechanism found (M8) while closing the last binary	2026-08-17	re-collection complete	census, section 6	direct observation, exploratory census	registro/NOTA-03-settimo-meccanismo.md
RQ6 arises: does a power calibration transfer between apparatuses	2026-08-16/17, after the variance decomposition of the re-collection existed	re-collection complete	RQ6, section 5.2	exploratory, arose during execution; the comparison is between one inherited calibration and this study's own	analysis/scomposizione_varianza.py first run on results/riraccolta; git commit 8e64dd9
Exact-Student p series adopted for the prose	2026-08-15 (EMENDAMENTO-05)	original batch complete, frozen p series already computed	p column of Table 6	sensitivity relative to the frozen approximation; the frozen series remains the pre-registered one	registro/EMENDAMENTO-05-p-esatti.md
Later sensitivity analyses (sign-flip permutation, GEE, bootstrap of the decomposition, saturation subsets, randomisation control)	2026-08-19	both collections complete	appendices A and B, section 5.1.1	exploratory / sensitivity only, written after the data existed	git commits 8ab017a, e4d7327, 232c8e7; analysis/permutazione.py, glmm_esplorativo.py, bootstrap_varianza.py, granularita_diretta.py
