binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,547,12,0.001346,3396,1020,databricks-gpt-oss-120b,databricks,9.6,[],2026-08-16T04:17:54,gpt-oss-120b,databricks,text
prog16_word_count_fsm,2,1.0000,5,5,True,False,547,12,0.001429,3396,1136,databricks-gpt-oss-120b,databricks,8.3,[],2026-08-16T04:18:02,gpt-oss-120b,databricks,text
prog16_word_count_fsm,3,1.0000,5,5,True,False,617,12,0.002030,3396,1970,databricks-gpt-oss-120b,databricks,11.8,[],2026-08-16T04:18:14,gpt-oss-120b,databricks,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,547,12,0.001865,3396,1741,databricks-gpt-oss-120b,databricks,11.0,[],2026-08-16T04:18:25,gpt-oss-120b,databricks,text
prog16_word_count_fsm,5,1.0000,5,5,True,False,617,12,0.002030,3396,1970,databricks-gpt-oss-120b,databricks,11.2,[],2026-08-16T04:18:36,gpt-oss-120b,databricks,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,672,12,0.001330,3396,998,databricks-gpt-oss-120b,databricks,7.9,[],2026-08-16T04:18:44,gpt-oss-120b,databricks,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,547,12,0.001954,3396,1865,databricks-gpt-oss-120b,databricks,11.3,[],2026-08-16T04:18:55,gpt-oss-120b,databricks,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,660,12,0.001976,3396,1895,databricks-gpt-oss-120b,databricks,12.0,[],2026-08-16T04:19:07,gpt-oss-120b,databricks,text
prog17_whitespace_trim,1,1.0000,5,5,True,False,1203,12,0.004707,3711,5610,databricks-gpt-oss-120b,databricks,30.8,[],2026-08-16T04:19:38,gpt-oss-120b,databricks,text
prog17_whitespace_trim,2,1.0000,5,5,True,False,1330,12,0.004135,3711,4816,databricks-gpt-oss-120b,databricks,33.3,[],2026-08-16T04:20:11,gpt-oss-120b,databricks,text
