binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,0.0000,0,5,True,False,970,12,0.000456,1047,371,databricks-gpt-oss-120b,databricks,6.3,[],2026-08-14T05:19:14,gpt-oss-120b,databricks,text
prog16_word_count_fsm,2,0.0000,0,5,True,False,558,12,0.000472,1047,394,databricks-gpt-oss-120b,databricks,4.4,[],2026-08-14T05:19:18,gpt-oss-120b,databricks,text
prog16_word_count_fsm,3,1.0000,5,5,True,False,513,12,0.001360,3408,1037,databricks-gpt-oss-120b,databricks,8.6,[],2026-08-14T05:19:27,gpt-oss-120b,databricks,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,531,12,0.001447,3408,1158,databricks-gpt-oss-120b,databricks,9.3,[],2026-08-14T05:19:36,gpt-oss-120b,databricks,text
prog16_word_count_fsm,5,1.0000,5,5,True,False,531,12,0.001781,3408,1621,databricks-gpt-oss-120b,databricks,11.2,[],2026-08-14T05:19:47,gpt-oss-120b,databricks,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,663,12,0.001545,3408,1294,databricks-gpt-oss-120b,databricks,11.6,[],2026-08-14T05:19:59,gpt-oss-120b,databricks,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,612,12,0.001680,3408,1481,databricks-gpt-oss-120b,databricks,11.4,[],2026-08-14T05:20:10,gpt-oss-120b,databricks,text
prog16_word_count_fsm,8,0.0000,0,5,True,False,684,12,0.000404,1047,300,databricks-gpt-oss-120b,databricks,5.1,[],2026-08-14T05:20:16,gpt-oss-120b,databricks,text
prog17_whitespace_trim,1,0.0000,0,5,True,False,1718,12,0.000607,1024,587,databricks-gpt-oss-120b,databricks,6.7,[],2026-08-14T05:20:22,gpt-oss-120b,databricks,text
prog17_whitespace_trim,2,0.0000,0,5,True,False,1219,12,0.000503,1024,443,databricks-gpt-oss-120b,databricks,6.1,[],2026-08-14T05:20:28,gpt-oss-120b,databricks,text
prog17_whitespace_trim,3,0.0000,0,5,True,False,1576,12,0.000734,1024,764,databricks-gpt-oss-120b,databricks,6.3,[],2026-08-14T05:20:35,gpt-oss-120b,databricks,text
prog17_whitespace_trim,4,0.0000,0,5,True,False,982,12,0.000630,1024,619,databricks-gpt-oss-120b,databricks,6.6,[],2026-08-14T05:20:41,gpt-oss-120b,databricks,text
prog17_whitespace_trim,5,0.2000,1,5,True,False,1224,12,0.000670,1024,675,databricks-gpt-oss-120b,databricks,6.9,[],2026-08-14T05:20:48,gpt-oss-120b,databricks,text
prog17_whitespace_trim,6,0.0000,0,5,True,False,1478,12,0.000572,1024,538,databricks-gpt-oss-120b,databricks,7.2,[],2026-08-14T05:20:55,gpt-oss-120b,databricks,text
prog17_whitespace_trim,7,0.0000,0,5,True,False,2731,12,0.000850,1024,925,databricks-gpt-oss-120b,databricks,6.7,[],2026-08-14T05:21:02,gpt-oss-120b,databricks,text
prog17_whitespace_trim,8,0.0000,0,5,True,False,1676,12,0.000837,1024,907,databricks-gpt-oss-120b,databricks,10.2,[],2026-08-14T05:21:12,gpt-oss-120b,databricks,text
prog18_caesar_cipher,1,0.0000,0,5,True,False,1313,12,0.002143,4512,1848,databricks-gpt-oss-120b,databricks,15.6,[],2026-08-14T05:21:28,gpt-oss-120b,databricks,text
prog18_caesar_cipher,2,1.0000,5,5,True,False,1015,12,0.002142,4512,1847,databricks-gpt-oss-120b,databricks,15.2,[],2026-08-14T05:21:43,gpt-oss-120b,databricks,text
prog18_caesar_cipher,3,0.0000,0,5,True,False,1255,12,0.000526,1048,469,databricks-gpt-oss-120b,databricks,6.3,[],2026-08-14T05:21:49,gpt-oss-120b,databricks,text
prog18_caesar_cipher,4,1.0000,5,5,True,False,1647,12,0.002710,4512,2636,databricks-gpt-oss-120b,databricks,15.3,[],2026-08-14T05:22:05,gpt-oss-120b,databricks,text
prog18_caesar_cipher,5,0.8000,4,5,True,False,1220,12,0.002665,4512,2574,databricks-gpt-oss-120b,databricks,16.0,[],2026-08-14T05:22:21,gpt-oss-120b,databricks,text
prog18_caesar_cipher,6,1.0000,5,5,True,False,1162,12,0.002004,4512,1656,databricks-gpt-oss-120b,databricks,15.2,[],2026-08-14T05:22:36,gpt-oss-120b,databricks,text
prog18_caesar_cipher,7,0.8000,4,5,True,False,1007,12,0.002315,4512,2087,databricks-gpt-oss-120b,databricks,12.2,[],2026-08-14T05:22:48,gpt-oss-120b,databricks,text
prog18_caesar_cipher,8,1.0000,5,5,True,False,1431,12,0.002706,4512,2631,databricks-gpt-oss-120b,databricks,16.2,[],2026-08-14T05:23:04,gpt-oss-120b,databricks,text
prog19_palindrome_checker,1,1.0000,5,5,True,False,1073,12,0.002436,4287,2311,databricks-gpt-oss-120b,databricks,17.2,[],2026-08-14T05:23:21,gpt-oss-120b,databricks,text
prog19_palindrome_checker,2,1.0000,5,5,True,False,1004,12,0.002055,4287,1782,databricks-gpt-oss-120b,databricks,13.4,[],2026-08-14T05:23:35,gpt-oss-120b,databricks,text
prog19_palindrome_checker,3,0.0000,0,5,False,False,1124,12,0.001943,4287,1627,databricks-gpt-oss-120b,databricks,9.7,harness_error: IndexError: list index out of range,2026-08-14T05:23:45,gpt-oss-120b,databricks,text
prog19_palindrome_checker,4,1.0000,5,5,True,False,977,12,0.002529,4287,2441,databricks-gpt-oss-120b,databricks,13.2,[],2026-08-14T05:23:58,gpt-oss-120b,databricks,text
prog19_palindrome_checker,5,1.0000,5,5,True,False,1219,12,0.002287,4287,2105,databricks-gpt-oss-120b,databricks,15.7,[],2026-08-14T05:24:14,gpt-oss-120b,databricks,text
prog19_palindrome_checker,6,1.0000,5,5,True,False,1146,12,0.002495,4287,2393,databricks-gpt-oss-120b,databricks,20.8,[],2026-08-14T05:24:34,gpt-oss-120b,databricks,text
prog19_palindrome_checker,7,0.0000,0,5,True,False,1328,12,0.000540,1024,494,databricks-gpt-oss-120b,databricks,6.7,[],2026-08-14T05:24:41,gpt-oss-120b,databricks,text
prog19_palindrome_checker,8,1.0000,5,5,True,False,1118,12,0.002413,4287,2279,databricks-gpt-oss-120b,databricks,13.0,[],2026-08-14T05:24:54,gpt-oss-120b,databricks,text
prog20_anagram_checker,1,0.0000,0,5,True,False,1621,12,0.000824,1024,888,databricks-gpt-oss-120b,databricks,13.3,[],2026-08-14T05:25:07,gpt-oss-120b,databricks,text
prog20_anagram_checker,2,0.0000,0,5,False,False,1421,12,0.002136,4301,1891,databricks-gpt-oss-120b,databricks,22.5,"/w/candidate.c:29:45: error: function definition is not allowed here
   29 |     auto void fill(const char *s, int *cnt) {
      |                                             ^
/w/candidate.c:40:5: error: call to undeclared function 'fill'; ISO C99 and later do not support implicit function declarat",2026-08-14T05:25:30,gpt-oss-120b,databricks,text
prog20_anagram_checker,3,0.0000,0,5,True,False,1615,12,0.000848,1024,922,databricks-gpt-oss-120b,databricks,9.3,[],2026-08-14T05:25:39,gpt-oss-120b,databricks,text
prog20_anagram_checker,4,1.0000,5,5,True,False,1140,12,0.002339,4301,2173,databricks-gpt-oss-120b,databricks,23.4,[],2026-08-14T05:26:02,gpt-oss-120b,databricks,text
prog20_anagram_checker,5,1.0000,5,5,True,False,1308,12,0.002935,4301,3001,databricks-gpt-oss-120b,databricks,30.1,[],2026-08-14T05:26:33,gpt-oss-120b,databricks,text
prog20_anagram_checker,6,0.0000,0,5,True,False,1630,12,0.000676,1024,683,databricks-gpt-oss-120b,databricks,9.1,[],2026-08-14T05:26:42,gpt-oss-120b,databricks,text
prog20_anagram_checker,7,0.0000,0,5,False,False,1300,12,0.002133,4301,1887,databricks-gpt-oss-120b,databricks,19.2,"/w/candidate.c:29:52: error: function definition is not allowed here
   29 |     auto void fill_counts(const char *s, int *cnt) {
      |                                                    ^
/w/candidate.c:39:5: error: call to undeclared function 'fill_counts'; ISO C99 and later do not support impli",2026-08-14T05:27:01,gpt-oss-120b,databricks,text
